"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Ventura County","CA","Oxnard-Thousand Oaks-Ventura","06","111",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3950,4197.5,4000,3850,3900,4200,4172.5,3950,3775,3862.5,3825,3875,4000,3995,4000,4150,4100,4344,4775,4500,4000,4175,4362.5,4275
"Gwinnett County","GA","Atlanta-Sandy Springs-Roswell","13","135",40,,,,,,,,1947.5,1800,1699,1800,1750,1900,1800,1895,2000,1800,1800,1799.5,1850,1750,1795,1700,1750,1800,1700,1750,1750,1797.5,1775,1700,1650,1650,1700,1600,1650,1700,1700,1700,1695,1695,1650,1650,1650,1635,1550,1500,1495,1500,1525,1550,1650,1610,1695,1635,1700,1700,1700,1700,1700,1705,1819.5,1840,1811,1870,1950,1900,1850,1897.5,1850,1850,1850,1847.5,1890,1895,1895,1895,1847.5,1785,1872.5,1850,1950,1895,1850,1850,1897,1944,1900,1885,2000,1995,1950,1940,1900,1995,1995,1950,1995,1995,1975,2027,1995,2000,2050,2045,2095,2000,2000
"Montgomery County","PA","Philadelphia-Camden-Wilmington","42","091",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1450,1525,1572.5,1500,1500,1500,1662.5,1700,1800,2000,1800,1700,1700,1750,1700,1635
"Worcester County","MA","Worcester","25","027",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1267.5,1300,1387.5,1350,1350,1350,1450,1300,1200,1300,1300,1300,1300,1500,1500,1450,1450,1400,1475,1397.5,1400,1400,1450,1450,1500,1500
"Collin County","TX","Dallas-Fort Worth-Arlington","48","085",43,,,,,,,,,,,,,2200,2292.5,2197.5,2325,2300,2300,2200,2300,2197,2200,2199,2200,2100,2050,2200,2295,2200,2250,2297.5,2250,2300,2300,2295,2095,2150,2100,2195,2290,2250,2299,2300,2300,2200,2272.5,2400,2397.5,2300,2300,2350,2445,2450,2450,2400,2422.5,2390,2395,2397.5,2447.5,2495,2450,2495,2600,2695,2550,2500,2600,2750,2550,2597.5,2550,2500,2600,2500,2500,2695,2600,2700,2550,2495,2498.5,2495,2495,2475,2495,2500,2499,2550,2500,2495,2550,2550,2550,2500,2600,2500,2500,2547.5,2700,2685,2650,2700,2650,2600,2500,2550,2650
"Monroe County","NY","Rochester","36","055",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,985,985,1050,1000,900,1000,1050,1150,995,925,897.5,962.5,1095,1100,1200,1200,1250,1250,1200,1250,1147.5,1072.5,1100,1050
"Essex County","MA","Boston-Cambridge-Newton","25","009",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2750,2500,2425,2500,2300,2300,2600,2600,2325,2500,2600,2400,2325,2600,2500,2500,2500,2200,2000,2050,2150,2100
"Suffolk County","MA","Boston-Cambridge-Newton","25","025",46,,,,,,,,,,,,,,,,,,,,,,,,3900,3612.5,3775,3900,3900,3887.5,3800,3800,3900,3800,3800,3925,4195,4000,3900,3900,3900,3900,3900,3750,3774.5,3900,3950,4050,4200,4150,4150,4150,4000,3900,3850,3800,3900,4000,3900,4200,4300,4250,4200,4000,4000,3900,3800,3800,3800,3700,3985,4200,4500,4500,4362.5,4200,4200,4000,4000,4000,4000,3999,3900,4250,4500,4500,4500,4400,4400,4300,4250,4250,4200,4100,4400,4750,4800,4800,4600,4500,4500,4400,4300,4300,4200,4199.5,4550,4850,5000
"San Mateo County","CA","San Francisco-Oakland-Hayward","06","081",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,3075,3100,3050,2950,2995,2800,2725,2775,2797.5,3100,3600,3400,3500,2950,3000,3095,2950,3195,3450,3165,3150,3000,3100,3197.5,3200,3197.5,3347.5,3525,3350
"Snohomish County","WA","Seattle-Tacoma-Bellevue","53","061",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2595,2795,2595,2500,2500,2524.5,2499,2322.5,2295,2599,2500,2500,2525,2499,2499.5,2525,2670,2500,2595,2695,2695
"Cobb County","GA","Atlanta-Sandy Springs-Roswell","13","067",49,,,,,,,,,,2400,2200,2300,2200,2000,2200,2200,2300,2300,2245,2275,2300,2100,2025,2000,1999,2197.5,2100,2000,2100,2400,2200,1997.5,1962.5,2000,1922.5,1900,1950,1875,1900,1995,1925,1925,1950,1900,1900,1797.5,1990,2000,1972.5,1995,2000,2200,2200,2250,2100,2000,2200,2100,2050,2045,2200,2200,2200,2200,2197.5,2200,2200,2200,2300,2197.5,2150,2250,2300,2300,2397.5,2345,2295,2300,2300,2300,2100,2300,2300,2100,2137.5,2200,2269,2210,2194.5,2390,2300,2390,2200,2200,2200,2137.5,2200,2300,2297.5,2370,2450,2350,2395,2299,2200,2200,2200,2225
"San Joaquin County","CA","Stockton-Lodi","06","077",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,1620,1795,1675,1662.5,1672.5,1795,1800,1832,1850,1922.5,1745,1750,1872,1650,1650,1695,1672.5,1697.5,1700,1950,1995,1950,1847.5,1850,2150,1950,2000,2300,2350,2197.5,1950,2200,2325,2297.5,2250,2275,2350,2397.5,2400,2250,2250,2125,2200,2300,2495,2495,2500,2375,2300,2400,2430,2385,2300,2400,2450,2250
"Denton County","TX","Dallas-Fort Worth-Arlington","48","121",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145,2875,2875,2690,2547.5,2775,2400,2400,2497.5,2900,2695,2650,2600,2650,2895,2650,2400,2750,2575,2600,2600,2947.5,3150,2995,2922.5,2995,2695,2650,2900,2650,2595,2597.5,2750,2775,2750,2697.5,2700,2700,2800,2800,2800,2700,2600,2600,2750,2600,2700,2600,2750,2700,2650,2925,2947.5,2772.5,2675,2500
